,Time,SpO2(%),Pulse Rate(bpm),Motion,SpO2 Reminder,PR Reminder,PERIODIC_BREATHING,labels_periodic
0,"01:56:03AM Feb 6, 2022",98,80,0,0,0,0,0
1,"01:56:07AM Feb 6, 2022",98,80,6,0,0,0,0
2,"01:56:11AM Feb 6, 2022",98,80,72,0,0,0,0
3,"01:56:15AM Feb 6, 2022",98,80,13,0,0,0,0
4,"01:56:19AM Feb 6, 2022",98,80,18,0,0,0,0
5,"01:56:23AM Feb 6, 2022",98,75,9,0,0,0,0
6,"01:56:27AM Feb 6, 2022",98,76,22,0,0,0,0
7,"01:56:31AM Feb 6, 2022",98,76,118,0,0,0,0
8,"01:56:35AM Feb 6, 2022",98,76,16,0,0,0,0
9,"01:56:39AM Feb 6, 2022",98,78,12,0,0,0,0
10,"01:56:43AM Feb 6, 2022",97,76,10,0,0,0,0
11,"01:56:47AM Feb 6, 2022",97,76,39,0,0,0,0
12,"01:56:51AM Feb 6, 2022",97,76,35,0,0,0,0
13,"01:56:55AM Feb 6, 2022",97,76,63,0,0,0,0
14,"01:56:59AM Feb 6, 2022",97,76,47,0,0,0,0
15,"01:57:03AM Feb 6, 2022",97,76,123,0,0,0,0
16,"01:57:07AM Feb 6, 2022",97,76,31,0,0,0,0
17,"01:57:11AM Feb 6, 2022",97,78,6,0,0,0,0
18,"01:57:15AM Feb 6, 2022",97,81,3,0,0,0,0
19,"01:57:19AM Feb 6, 2022",97,82,0,0,0,0,0
20,"01:57:23AM Feb 6, 2022",98,80,0,0,0,0,0
21,"01:57:27AM Feb 6, 2022",98,78,1,0,0,0,0
22,"01:57:31AM Feb 6, 2022",98,78,2,0,0,0,0
23,"01:57:35AM Feb 6, 2022",98,75,31,0,0,0,0
24,"01:57:39AM Feb 6, 2022",98,75,7,0,0,0,0
25,"01:57:43AM Feb 6, 2022",98,78,0,0,0,0,0
26,"01:57:47AM Feb 6, 2022",98,73,0,0,0,0,0
27,"01:57:51AM Feb 6, 2022",98,74,0,0,0,0,0
28,"01:57:55AM Feb 6, 2022",98,76,1,0,0,0,0
29,"01:57:59AM Feb 6, 2022",98,79,0,0,0,0,0
30,"01:58:03AM Feb 6, 2022",98,77,0,0,0,0,0
31,"01:58:07AM Feb 6, 2022",98,70,0,0,0,0,0
32,"01:58:11AM Feb 6, 2022",98,69,0,0,0,0,0
33,"01:58:15AM Feb 6, 2022",98,71,0,0,0,0,0
34,"01:58:19AM Feb 6, 2022",98,74,0,0,0,0,0
35,"01:58:23AM Feb 6, 2022",98,73,0,0,0,0,0
36,"01:58:27AM Feb 6, 2022",98,69,0,0,0,0,0
37,"01:58:31AM Feb 6, 2022",98,71,0,0,0,0,0
38,"01:58:35AM Feb 6, 2022",98,70,0,0,0,0,0
39,"01:58:39AM Feb 6, 2022",98,66,0,0,0,0,0
40,"01:58:43AM Feb 6, 2022",98,71,0,0,0,0,0
41,"01:58:47AM Feb 6, 2022",98,77,0,0,0,0,0
42,"01:58:51AM Feb 6, 2022",98,77,0,0,0,0,0
43,"01:58:55AM Feb 6, 2022",98,78,0,0,0,0,0
44,"01:58:59AM Feb 6, 2022",98,81,0,0,0,0,0
45,"01:59:03AM Feb 6, 2022",98,84,0,0,0,0,0
46,"01:59:07AM Feb 6, 2022",98,85,0,0,0,0,0
47,"01:59:11AM Feb 6, 2022",98,85,0,0,0,0,0
48,"01:59:15AM Feb 6, 2022",98,82,0,0,0,0,0
49,"01:59:19AM Feb 6, 2022",98,83,0,0,0,0,0
50,"01:59:23AM Feb 6, 2022",98,80,0,0,0,0,0
51,"01:59:27AM Feb 6, 2022",98,80,1,0,0,0,0
52,"01:59:31AM Feb 6, 2022",98,77,1,0,0,0,0
53,"01:59:35AM Feb 6, 2022",98,76,4,0,0,0,0
54,"01:59:39AM Feb 6, 2022",98,81,2,0,0,0,0
55,"01:59:43AM Feb 6, 2022",98,79,6,0,0,0,0
56,"01:59:47AM Feb 6, 2022",97,84,0,0,0,0,0
57,"01:59:51AM Feb 6, 2022",97,86,0,0,0,0,0
58,"01:59:55AM Feb 6, 2022",98,84,0,0,0,0,0
59,"01:59:59AM Feb 6, 2022",98,82,0,0,0,0,0
60,"02:00:03AM Feb 6, 2022",98,80,0,0,0,0,0
